Train_Acc,Test_Acc,Train_Loss,Test_Loss,model
-0.25177716759642704,-0.21715538465689457,0.9817583,"tensor(1.0389, grad_fn=<DivBackward0>)",dcrnn_2_layer
-0.23732293967356824,-0.20924780348469027,0.9807311,"tensor(1.0394, grad_fn=<DivBackward0>)",
-0.21504108608286485,-0.19787279157906099,0.9784632,"tensor(1.0408, grad_fn=<DivBackward0>)",
-0.1874516211355903,-0.1815661463710839,0.97549736,"tensor(1.0428, grad_fn=<DivBackward0>)",
-0.15689022636847388,-0.15803374111216467,0.97232175,"tensor(1.0447, grad_fn=<DivBackward0>)",
-0.1355775596337277,-0.13389754692587416,0.9700084,"tensor(1.0459, grad_fn=<DivBackward0>)",
-0.12177403471176486,-0.11603193156911062,0.9686575,"tensor(1.0437, grad_fn=<DivBackward0>)",
-0.11461775738793956,-0.10574164922244834,0.96694016,"tensor(1.0392, grad_fn=<DivBackward0>)",
-0.11479361932794585,-0.1020188767786523,0.9649457,"tensor(1.0360, grad_fn=<DivBackward0>)",
-0.11458025541082326,-0.09851910719130222,0.9636494,"tensor(1.0354, grad_fn=<DivBackward0>)",
-0.11132421028730953,-0.09280924053637366,0.9631407,"tensor(1.0356, grad_fn=<DivBackward0>)",
-0.10411905247182034,-0.08518783839839487,0.96284217,"tensor(1.0352, grad_fn=<DivBackward0>)",
-0.09916754224067163,-0.08042820096414227,0.96222794,"tensor(1.0343, grad_fn=<DivBackward0>)",
-0.09780635397697987,-0.07967517462537585,0.9614193,"tensor(1.0341, grad_fn=<DivBackward0>)",
-0.09829550168879064,-0.08174570116525456,0.960726,"tensor(1.0350, grad_fn=<DivBackward0>)",
-0.10018458582507597,-0.08550283371440764,0.9602228,"tensor(1.0363, grad_fn=<DivBackward0>)",
-0.10194014346229185,-0.08919938899973572,0.9597646,"tensor(1.0371, grad_fn=<DivBackward0>)",
-0.1036495803124918,-0.09231674642035029,0.9593058,"tensor(1.0369, grad_fn=<DivBackward0>)",
-0.10605949967716695,-0.09590372804527322,0.95883185,"tensor(1.0363, grad_fn=<DivBackward0>)",
